序号,专业名,学位,链接
123,"Politics, Philosophy and Economics",BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/politics-philosophy-and-economics/
124,Product Design and Technology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/product-design-and-technology/
125,Product Design and Technology with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/product-design-tech-foundation/
126,Product Design Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/product-design-engineering-beng/
127,Product Design Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/product-design-engineering-meng/
128,Product Design Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/product-design-engineering/
129,Psychology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/psychology/
130,Psychology of Sport and Exercise,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/psychology-sport-exercise/
131,Psychology with a Foundation Year for Elite Athletes,,https://www.lboro.ac.uk/study/undergraduate/foundation/psychology-for-elite-athletes/
132,Psychology with Criminology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/psychology-with-criminology/
133,"Robotics, Mechatronics and Control Engineering",BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/botics-mechatronics-control-engineering-beng/
134,"Robotics, Mechatronics and Control Engineering",MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/botics-mechatronics-control-engineering-meng/
135,Social Sciences and Humanities with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/social-sciences/
136,Sociology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/iology/
137,Sport and Exercise Science,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/port-and-exercise-science/
138,Sport Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/port-management/
139,"Sport Science, Coaching and Physical Education",BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/port-coaching-and-physical-education/
140,Sport with a Foundation Year for Elite Athletes,,https://www.lboro.ac.uk/study/undergraduate/foundation/sport-foundation-for-elite-athletes/
141,Sports Technology,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ports-technology-beng/
142,Sports Technology,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ports-technology-meng/
143,Sports Technology with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/sports-technology/
144,Textile Design,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/xtile-design/
145,Urban Planning,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ban-planning-bsc/
146,Urban Planning,MPlan (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ban-planning-mplan/
